Image,Sigma,Filter,PSNR,SSIM
cameraman.tif,0.1,NL-means,29.497874042245144,0.8178577052811363
cameraman.tif,0.1,Moving Avg,28.379582162156794,0.6507321990993904
cameraman.tif,0.1,Median,27.129209232658887,0.5623692991780446
cameraman.tif,0.1,TV,29.71530605560463,0.8460198748578828
cameraman.tif,0.2,NL-means,24.773122499179003,0.5156508369018267
cameraman.tif,0.2,Moving Avg,23.175258953862816,0.3980635576036746
cameraman.tif,0.2,Median,21.798805775741616,0.3256797771838745
cameraman.tif,0.2,TV,23.60297029493222,0.4607012041627836
cameraman.tif,0.3,NL-means,20.808735854507994,0.30567298123598974
cameraman.tif,0.3,Moving Avg,20.12321921883869,0.2781552365969408
cameraman.tif,0.3,Median,18.522261164184272,0.22062204701018492
cameraman.tif,0.3,TV,18.382436998502875,0.21797328345570718
cameraman.tif,0.4,NL-means,18.342032861676202,0.20915270229960628
cameraman.tif,0.4,Moving Avg,18.12390637073927,0.21422266269275067
cameraman.tif,0.4,Median,16.239377598089995,0.1648095469286441
cameraman.tif,0.4,TV,15.487704829515996,0.1359773438819783
cameraman.tif,0.5,NL-means,16.654107704216905,0.15915530784279958
cameraman.tif,0.5,Moving Avg,16.68084841839959,0.1754016001186473
cameraman.tif,0.5,Median,14.476920820371681,0.1276867854838144
cameraman.tif,0.5,TV,13.738068120283913,0.0992731947767262
lena.tif,0.1,NL-means,26.96163796068133,0.7672235804867132
lena.tif,0.1,Moving Avg,25.83160061248585,0.6643655872156911
lena.tif,0.1,Median,25.353467804267666,0.6141469505342269
lena.tif,0.1,TV,27.30386578991645,0.7809594581081429
lena.tif,0.2,NL-means,23.927882855569898,0.5557745021150672
lena.tif,0.2,Moving Avg,22.51480220118705,0.471718906790538
lena.tif,0.2,Median,20.949966197980917,0.4006003497137776
lena.tif,0.2,TV,23.094548356468493,0.515271566074559
lena.tif,0.3,NL-means,20.485448072384457,0.3692442972395551
lena.tif,0.3,Moving Avg,19.9859707193326,0.3514307097915858
lena.tif,0.3,Median,17.887289479978566,0.2778505358583039
lena.tif,0.3,TV,18.229851966289623,0.29265870508617825
lena.tif,0.4,NL-means,18.324325837766672,0.2788116082579263
lena.tif,0.4,Moving Avg,18.334165485272788,0.28989250613354345
lena.tif,0.4,Median,15.746277982038448,0.21793791147849262
lena.tif,0.4,TV,15.552834630107533,0.20234136783748238
lena.tif,0.5,NL-means,16.903372835071583,0.21930116618651532
lena.tif,0.5,Moving Avg,17.170443994796173,0.2397270011122013
lena.tif,0.5,Median,14.048690769422386,0.16866167956442243
lena.tif,0.5,TV,13.89039706562941,0.1473101248208827
peppers.tif,0.1,NL-means,27.896078919855036,0.8344525686937394
peppers.tif,0.1,Moving Avg,26.904927642775363,0.7207958381372174
peppers.tif,0.1,Median,26.13237673945706,0.659298159350082
peppers.tif,0.1,TV,28.234862568067687,0.8424620593045928
peppers.tif,0.2,NL-means,24.37126672567758,0.604314054924239
peppers.tif,0.2,Moving Avg,23.00556751732218,0.5134448192191
peppers.tif,0.2,Median,21.3308844176839,0.43742469204265455
peppers.tif,0.2,TV,23.365504760683557,0.5501913967049248
peppers.tif,0.3,NL-means,20.570304265076814,0.3981705187158805
peppers.tif,0.3,Moving Avg,20.1262143190338,0.3829484628433375
peppers.tif,0.3,Median,18.05275197199236,0.3067469149608206
peppers.tif,0.3,TV,18.277034243446693,0.3036612849839168
peppers.tif,0.4,NL-means,18.29132835934377,0.2942575218677565
peppers.tif,0.4,Moving Avg,18.288947831381243,0.3065209410640101
peppers.tif,0.4,Median,15.85105302838908,0.23366882222728083
peppers.tif,0.4,TV,15.53670861677299,0.20608389214569223
peppers.tif,0.5,NL-means,16.780191621861146,0.2297888577563736
peppers.tif,0.5,Moving Avg,17.062109523919972,0.2538539836484688
peppers.tif,0.5,Median,14.275191032928081,0.18550493034873794
peppers.tif,0.5,TV,13.868247994639669,0.14991228390143907
